29;DON;CB WikimediaFounda FACT;
30;Spectacle;CB FRANCE BILLETVA FACT;
31;Voiture;CB AUTO ESPACE MIL FACT;
32;Cadeau;LAMOWWW CADEAU JEN ELO;
33;Courses supermarchés;raclette;
34;Courses supermarchés;CB AUCHAN LE PONTE FACT;
35;Courses supermarchés;CB CARREFOUR BEDOI FACT;
36;Salaire Mensuel;VIR SEPA TREEPTIK;
37;Courses supermarchés;CB CARREFOUR AIX   FACT;
38;Courses supermarchés;CB CARREFOUR DAC   FACT;
39;Frais Banquaire;* FRAIS RETRAIT DAB UE;
40;Voiture;CB ASF   AVIGNON-N FACT;
41;Loyer;LOYER;
42;Technologie;CB FNAC            FACT;
43;Technologie;CB FNAC            FACT;
44;Sécurité Sociale;VIR SEPA CPAM;
45;Transport en Commun;CB SNCF INTERNET   FACT;
46;Bar;CB SANTONI         FACT;
47;Assurance;PRLV FILIA-MAIF ;
48;Assurance;PRLV GARANTIE-PRIVEE.COM;
49;Restaurant;CB MAZEL           FACT;
50;Activité Sportive;LAMAUD Ensemble Maillots;
51;Voiture;CB RELAIS MILLES   FACT;
52;Frais Banquaire;* COTIS.FORFAIT SATELLIS ESS.;
53;Shopping;CB FETER ET RECEVO FACT;
54;Cigarettes;CB DENEUVE TABAC P FACT;
55;Voiture;CB SARL KRH2       FACT;
56;Forfait;CB SPOTIFY FRANCE  FACT;
57;Courses supermarchés;CB PROMOCASH       FACT;
58;Restaurant;CB MRN             FACT;
59;Sécurité Sociale;VIR SEPA CPAM;
60;Transport en Commun;CB SNCF            FACT;
61;Voiture;CB RELAIS MILLES   FACT;
62;Forfait;PRLV Orange;
63;Cigarettes;CB DENEUVE TABAC P FACT;
64;Spectacle;CB FIESTA DES SUDS FACT;
65;Courses supermarchés;CB 0344 MONOPRIX   FACT;
66;Transport en Commun;CB RTM/REGIEDRD/GR FACT;
67;Shopping;CB NATURE & DECOUV FACT;
68;Fast Food;CB MARSHEL         FACT;
69;Remboursement PEL;VIR SEPA Monsieur CEDRIC LAMAUD;
70;Salaire Mensuel;VIR SEPA MICROPOLE FRANCE;
71;Courses supermarchés;TRICOUNT LAMOWWW;
72;Voiture;CB SEMEPA RO SC BS FACT;
73;Courses supermarchés;CARREFOUR;
74;Courses supermarchés;AUCHAN;
75;Voiture;ASF;
76;Cadeau;CADEAU;
77;Fast Food;CB MMG             FACT;
78;Courses supermarchés;CB U EXPRESS       FACT;
79;SCI 3L;VIR SEPA SCI;
80;Courses supermarchés;CB SIMPLY MARSE MA FACT;
81;Shopping;CB CELIO;
82;Bar;CB THE SHAMROCK    FACT;
83;Restaurant;CB HIPPOPOTAMUS    FACT;
84;Technologie;CB DARTY           FACT;
85;Shopping;CB AMAZON;
86;Activité Sportive;CB Z 5             FACT;
87;Transport en Commun;DOUDOU TRAIN LYON;
88;AirBNB;CB AIRBNB          FACT;
89;Restaurant;CB UN P'TIT COIN   FACT;
90;Courses supermarchés;LAMOWWW TRICOUNT;
91;Voiture;CB REL.DE CHAMPOUS FACT;
92;Voiture;CEDRIC TRAJET MONTPELLIER AIX;
93;Economies Drivy;Drivy economies;
94;Restaurant;CB CAFETERIA       FACT;
95;Courses supermarchés;LAMOWWW TRICOUNT NOVEMBRE;
96;Courses supermarchés;CB REZIN           FACT;
97;Courses supermarchés;CB CHAMPAGNE SALMO FACT;
98;Spectacle;CB LYDIA APP       FACT;
99;Voiture;CB UBER            FACT;
100;Restaurant;CB KHAI HOAN       FACT;
101;Courses supermarchés;CB DOMAINE MONTAUT FACT;
102;Restaurant;CB SARL LAURELIS   FACT;
103;Restaurant;CB PETITE BISCUITE FACT;
104;Vie Quotidienne;CB LE...L          FACT;
387;Courses supermarchés;CB LIDL;
388;Vie Quotidienne;CB LA POSTE;
389;Impots;PRLV DIRECTION GENERALE DES FINA;
390;Fast Food;CB QUICK           FACT;
